transaction_id,user_id,product_id,qty,price,timestamp,store_id
TX0000001,U0001,P0169,4,420.15,07/09/2025 12:29,S006
TX0000002,U0001,P0509,5,530.59,27/08/2025 13:29,S004
TX0000003,U0001,P0518,2,310.04,19/08/2025 16:32,S038
TX0000004,U0001,P0716,1,92.29,31/07/2025 16:26,S031
TX0000005,U0001,P0782,5,748.35,29/06/2025 07:05,S040
TX0000006,U0001,P0453,1,71.73,12/08/2025 02:36,S028
TX0000007,U0001,P0669,2,136.92,04/09/2025 17:30,S021
TX0000008,U0002,P0945,4,271.01,28/07/2025 11:49,S025
TX0000009,U0002,P0050,5,651.92,12/07/2025 22:12,S015
TX0000010,U0002,P0729,2,116.07,19/09/2025 16:03,S041
TX0000011,U0002,P0816,1,16.93,16/08/2025 02:20,S012
TX0000012,U0002,P0261,3,110.2,04/07/2025 13:49,S030
TX0000013,U0002,P0401,4,190.42,12/07/2025 16:31,S039
TX0000014,U0002,P0020,5,277.97,21/08/2025 15:11,S001
TX0000015,U0002,P0686,3,92.58,05/08/2025 16:44,S013
TX0000016,U0002,P0821,4,851.41,31/08/2025 08:05,S048
TX0000017,U0002,P0794,2,193.89,23/07/2025 16:38,S040
TX0000018,U0002,P0834,4,266.72,13/07/2025 15:23,S034
TX0000019,U0002,P0703,1,30.7,16/09/2025 13:20,S026
TX0000020,U0002,P0812,4,277.13,17/09/2025 15:10,S048
TX0000021,U0002,P0884,5,903.54,26/06/2025 09:01,S028
TX0000022,U0002,P0645,1,52.35,05/08/2025 23:33,S029
TX0000023,U0002,P0330,2,137.42,16/07/2025 21:28,S041
TX0000024,U0002,P0725,4,183.72,20/07/2025 22:29,S023
TX0000025,U0002,P0097,2,182.77,19/07/2025 20:15,S002
TX0000026,U0002,P0093,2,247.39,07/08/2025 21:08,S002
TX0000027,U0002,P0823,5,871.8,14/07/2025 03:04,S017
TX0000028,U0002,P0517,2,314.85,19/07/2025 21:24,S042
TX0000029,U0002,P0415,3,276.17,10/08/2025 14:42,S027
TX0000030,U0002,P0551,5,917.7,29/07/2025 15:43,S014
TX0000031,U0003,P0730,5,422.67,19/08/2025 11:55,S023
TX0000032,U0003,P0217,5,425.45,04/08/2025 11:11,S036
TX0000033,U0003,P0516,5,187.34,02/08/2025 23:33,S031
TX0000034,U0003,P0646,2,114.53,09/09/2025 17:25,S039
TX0000035,U0003,P0726,4,334.16,29/06/2025 20:08,S010
TX0000036,U0003,P0183,1,78.36,29/06/2025 08:16,S033
TX0000037,U0003,P0081,3,133.63,10/09/2025 04:16,S004
TX0000038,U0003,P0361,5,440.48,07/07/2025 16:54,S034
TX0000039,U0003,P0866,1,79.48,14/07/2025 13:58,S044
TX0000040,U0003,P0950,1,27.54,21/08/2025 17:51,S050
TX0000041,U0003,P0942,2,238.34,05/07/2025 07:39,S036
TX0000042,U0003,P0343,4,217.58,07/08/2025 16:44,S021
TX0000043,U0003,P0742,3,274.73,05/09/2025 19:54,S033
TX0000044,U0003,P0687,5,1064.12,07/07/2025 02:00,S020
TX0000045,U0004,P0487,1,31.41,16/07/2025 22:15,S008
TX0000046,U0004,P0465,5,797.39,29/07/2025 13:51,S043
TX0000047,U0004,P0425,4,298.46,23/09/2025 19:45,S034
TX0000048,U0004,P0083,2,306.56,02/07/2025 20:21,S028
TX0000049,U0004,P0912,1,179.15,12/08/2025 07:18,S049
TX0000050,U0004,P0374,2,166.42,09/07/2025 20:55,S007
TX0000051,U0004,P0115,4,79.01,31/07/2025 05:39,S014
TX0000052,U0004,P0401,1,49.47,05/08/2025 12:37,S046
TX0000053,U0004,P0881,4,121.19,15/07/2025 04:19,S041
TX0000054,U0004,P0762,2,91.72,07/07/2025 23:24,S043
TX0000055,U0004,P0476,4,447.44,28/06/2025 07:57,S034
TX0000056,U0004,P0852,1,71.84,18/07/2025 15:30,S032
TX0000057,U0004,P0510,3,314.14,27/08/2025 06:51,S015
TX0000058,U0004,P0568,5,588.74,13/09/2025 00:43,S001
TX0000059,U0004,P0575,3,131.75,05/07/2025 11:17,S040
TX0000060,U0004,P0976,1,211.14,20/09/2025 03:46,S046
TX0000061,U0004,P0950,4,112.95,15/09/2025 05:35,S022
TX0000062,U0004,P0854,3,340.82,10/09/2025 04:17,S028
TX0000063,U0004,P0798,4,1159.47,12/07/2025 01:52,S008
TX0000064,U0004,P0860,2,88.02,28/08/2025 10:58,S002
TX0000065,U0004,P0738,4,618.57,20/07/2025 21:21,S043
TX0000066,U0005,P0318,3,450.92,15/09/2025 12:18,S020
TX0000067,U0005,P0533,5,308.67,05/07/2025 19:23,S048
TX0000068,U0005,P0318,2,300.83,23/08/2025 22:48,S011
TX0000069,U0005,P0888,2,210.93,09/09/2025 19:07,S043
TX0000070,U0005,P0340,3,875.06,05/09/2025 03:26,S006
TX0000071,U0005,P0028,5,213.39,19/09/2025 14:10,S021
TX0000072,U0005,P0551,3,549.56,11/08/2025 09:19,S029
TX0000073,U0005,P0254,4,718.73,09/08/2025 11:31,S031
TX0000074,U0005,P0264,1,98.17,20/07/2025 08:59,S019
TX0000075,U0006,P0316,4,448.06,29/08/2025 04:27,S001
TX0000076,U0006,P0133,4,163.87,29/08/2025 14:04,S031
TX0000077,U0006,P0639,2,121.94,07/09/2025 18:09,S042
TX0000078,U0006,P0721,2,536.82,21/09/2025 14:46,S038
TX0000079,U0006,P0943,5,355.54,31/07/2025 14:35,S006
TX0000080,U0006,P0748,4,278.42,07/09/2025 22:25,S029
TX0000081,U0006,P0258,2,188.76,17/09/2025 21:32,S032
TX0000082,U0007,P0165,4,173.83,07/09/2025 09:45,S010
TX0000083,U0007,P0387,1,75.29,29/06/2025 04:54,S035
TX0000084,U0007,P0872,2,136.79,20/08/2025 12:59,S016
TX0000085,U0007,P0818,2,88.25,08/08/2025 13:44,S038
TX0000086,U0007,P0158,5,392.93,09/09/2025 03:39,S042
TX0000087,U0007,P0774,5,905.29,16/08/2025 06:30,S024
TX0000088,U0007,P0962,4,199.14,28/08/2025 05:07,S004
TX0000089,U0007,P0030,1,54.73,31/07/2025 19:44,S044
TX0000090,U0007,P0565,5,395.03,25/08/2025 18:01,S013
TX0000091,U0007,P0648,5,355.71,17/09/2025 05:04,S048
TX0000092,U0007,P0286,4,684.32,08/09/2025 08:10,S006
TX0000093,U0008,P0731,5,217.99,01/09/2025 08:25,S027
TX0000094,U0008,P0527,2,332.01,09/08/2025 05:46,S016
TX0000095,U0008,P0073,4,132.39,07/08/2025 21:18,S008
TX0000096,U0008,P0044,5,660.84,30/08/2025 14:01,S022
TX0000097,U0008,P0145,2,67.78,08/07/2025 16:40,S005
TX0000098,U0008,P0510,5,499.35,26/07/2025 15:55,S009
TX0000099,U0008,P0549,1,137.2,02/07/2025 23:15,S031
TX0000100,U0008,P0404,5,273.6,26/06/2025 02:57,S032
TX0000101,U0008,P0217,3,284.95,26/06/2025 05:28,S036
TX0000102,U0008,P0768,2,207.05,25/08/2025 16:31,S018
TX0000103,U0008,P0153,2,237.3,07/09/2025 04:53,S027
TX0000104,U0008,P0300,3,275.54,28/06/2025 04:59,S018
TX0000105,U0008,P0328,3,147.92,17/09/2025 21:31,S028
TX0000106,U0008,P0189,2,273.28,09/09/2025 00:34,S039
TX0000107,U0008,P0154,1,166.94,16/07/2025 15:38,S025
TX0000108,U0008,P0240,3,297.52,24/07/2025 12:22,S037
TX0000109,U0008,P0077,2,187.3,20/09/2025 08:53,S019
TX0000110,U0009,P0346,1,177.98,18/08/2025 07:00,S039
TX0000111,U0009,P0707,1,50.09,14/07/2025 13:01,S021
TX0000112,U0009,P0955,3,213.37,09/07/2025 03:13,S035
TX0000113,U0009,P0137,4,553.85,19/07/2025 08:43,S010
TX0000114,U0009,P0482,1,60.69,29/08/2025 05:25,S042
TX0000115,U0009,P0291,5,642.37,27/08/2025 19:31,S043
TX0000116,U0009,P0092,4,320.96,11/09/2025 21:23,S021
TX0000117,U0009,P0897,5,721.19,13/08/2025 17:28,S039
TX0000118,U0009,P0111,1,69.48,12/07/2025 08:48,S011
TX0000119,U0010,P0727,3,505.36,27/06/2025 13:28,S021
TX0000120,U0010,P0017,5,257.96,11/08/2025 04:00,S010
TX0000121,U0010,P0901,4,362.29,05/08/2025 01:21,S028
TX0000122,U0010,P0502,1,39.07,04/07/2025 23:13,S036
TX0000123,U0010,P0445,2,97.64,28/07/2025 02:47,S043
TX0000124,U0010,P0117,3,530.09,01/08/2025 03:46,S042
TX0000125,U0010,P0465,5,872.38,27/08/2025 21:52,S029
TX0000126,U0010,P0637,1,19.79,18/09/2025 09:12,S025
TX0000127,U0010,P0015,1,82.66,29/07/2025 12:18,S048
TX0000128,U0011,P0070,3,306.0,08/08/2025 09:05,S031
TX0000129,U0011,P0538,5,1345.17,01/08/2025 15:32,S016
TX0000130,U0011,P0259,3,156.05,06/07/2025 23:36,S013
TX0000131,U0011,P0271,2,51.47,13/07/2025 02:04,S050
TX0000132,U0011,P0997,3,141.28,27/08/2025 15:55,S049
TX0000133,U0011,P0212,4,314.78,28/07/2025 14:04,S010
TX0000134,U0011,P0682,4,801.86,08/08/2025 06:39,S009
TX0000135,U0011,P0576,3,402.61,14/07/2025 16:38,S022
TX0000136,U0011,P0327,5,146.16,30/06/2025 16:55,S002
TX0000137,U0011,P0573,5,198.04,12/09/2025 01:21,S043
TX0000138,U0011,P0689,2,79.1,02/08/2025 11:40,S035
TX0000139,U0011,P0770,4,307.63,16/08/2025 22:18,S037
TX0000140,U0011,P0493,2,300.87,19/09/2025 14:22,S003
TX0000141,U0012,P0068,1,51.65,26/06/2025 23:04,S001
TX0000142,U0012,P0562,3,260.15,13/08/2025 20:08,S026
TX0000143,U0012,P0442,1,42.66,07/09/2025 12:27,S010
TX0000144,U0012,P0386,5,437.04,03/09/2025 01:46,S014
TX0000145,U0012,P0981,2,72.64,07/07/2025 18:20,S030
